x-axis,1,2,EXT
second,Volt,Volt,
+775.00E-06,+1.02110552E+00,-38.19095E-03,0
+800.00E-06,+1.02110552E+00,+105.52764E-03,0
+825.00E-06,+1.02110552E+00,+13.56784E-03,0
+850.00E-06,+1.02110552E+00,-117.08543E-03,0
+875.00E-06,+1.02110552E+00,-13.06533E-03,0
+900.00E-06,+1.02110552E+00,+102.51256E-03,0
+925.00E-06,+1.02110552E+00,-9.04523E-03,0
+950.00E-06,+1.02110552E+00,-113.56784E-03,0
+975.00E-06,+1.02110552E+00,+11.05528E-03,0
+1.00000E-03,+1.02110552E+00,+98.99497E-03,0
+1.02500E-03,+1.02110552E+00,-35.17588E-03,0
+1.05000E-03,+1.02110552E+00,-105.02512E-03,0
+1.07500E-03,+1.02110552E+00,+30.65327E-03,0
+1.10000E-03,+1.02110552E+00,+89.44724E-03,0
+1.12500E-03,+1.02110552E+00,-55.77889E-03,0
+1.15000E-03,+1.02110552E+00,-90.95477E-03,0
+1.17500E-03,+1.02110552E+00,+47.23618E-03,0
+1.20000E-03,+1.02110552E+00,+74.37186E-03,0
+1.22500E-03,+1.02110552E+00,-69.34673E-03,0
+1.25000E-03,+1.02110552E+00,-73.86935E-03,0
+1.27500E-03,+1.02110552E+00,+68.34171E-03,0
+1.30000E-03,+1.01105527E+00,+54.27136E-03,0
+1.32500E-03,+1.00502511E+00,-82.91457E-03,0
+1.35000E-03,+996.98491E-03,-55.77889E-03,0
+1.37500E-03,+986.93466E-03,+76.88442E-03,0
+1.40000E-03,+974.87436E-03,+35.67839E-03,0
+1.42500E-03,+972.86431E-03,-89.44724E-03,0
+1.45000E-03,+948.74371E-03,-35.67839E-03,0
+1.47500E-03,+948.74371E-03,+80.40201E-03,0
+1.50000E-03,+942.71356E-03,+16.58291E-03,0
+1.52500E-03,+948.74371E-03,-92.46231E-03,0
+1.55000E-03,+922.61306E-03,-17.58794E-03,0
+1.57500E-03,+908.54270E-03,+80.40201E-03,0
+1.60000E-03,+914.57285E-03,-2.51256E-03,0
+1.62500E-03,+898.49245E-03,-88.44221E-03,0
+1.65000E-03,+900.50250E-03,+4.02010E-03,0
+1.67500E-03,+890.45225E-03,+76.38191E-03,0
+1.70000E-03,+876.38190E-03,-27.13568E-03,0
+1.72500E-03,+878.39195E-03,-84.42211E-03,0
+1.75000E-03,+866.33165E-03,+23.61809E-03,0
+1.77500E-03,+862.31155E-03,+70.85427E-03,0
+1.80000E-03,+858.29145E-03,-38.69347E-03,0
+1.82500E-03,+850.25125E-03,-69.84925E-03,0
+1.85000E-03,+838.19095E-03,+39.19598E-03,0
+1.87500E-03,+836.18090E-03,+56.78392E-03,0
+1.90000E-03,+828.14069E-03,-55.27638E-03,0
+1.92500E-03,+822.11054E-03,-60.80402E-03,0
+1.95000E-03,+804.02009E-03,+49.74874E-03,0
+1.97500E-03,+785.92964E-03,+39.19598E-03,0
+2.00000E-03,+785.92964E-03,-64.32161E-03,0
+2.02500E-03,+797.98994E-03,-46.73367E-03,0
+2.05000E-03,+787.93969E-03,+57.78894E-03,0
+2.07500E-03,+773.86934E-03,+23.61809E-03,0
+2.10000E-03,+777.88944E-03,-73.36683E-03,0
+2.12500E-03,+765.82914E-03,-28.64322E-03,0
+2.15000E-03,+749.74874E-03,+61.30653E-03,0
+2.17500E-03,+747.73869E-03,+7.53769E-03,0
+2.20000E-03,+741.70853E-03,-74.37186E-03,0
