x-axis,1,EXT
second,Volt,
-121.000E-09,+0.0E+00,0
-118.000E-09,+0.0E+00,0
-115.000E-09,+0.0E+00,0
-112.000E-09,+0.0E+00,0
-109.000E-09,-233.165830374E-03,0
-106.000E-09,-233.165830374E-03,0
-103.000E-09,+0.0E+00,0
-100.000E-09,+0.0E+00,0
-97.000E-09,+0.0E+00,0
-94.000E-09,-145.728643984E-03,0
-91.000E-09,-233.165830374E-03,0
-88.000E-09,-233.165830374E-03,0
-85.000E-09,+0.0E+00,0
-82.000E-09,+0.0E+00,0
-79.000E-09,+0.0E+00,0
-76.000E-09,+0.0E+00,0
-73.000E-09,+0.0E+00,0
-70.000E-09,+0.0E+00,0
-67.000E-09,+0.0E+00,0
-64.000E-09,-233.165830374E-03,0
-61.000E-09,-233.165830374E-03,0
-58.000E-09,+0.0E+00,0
-55.000E-09,+0.0E+00,0
-52.000E-09,+0.0E+00,0
-49.000E-09,-145.728643984E-03,0
-46.000E-09,-233.165830374E-03,0
-43.000E-09,-233.165830374E-03,0
-40.000E-09,-87.437186390E-03,0
-37.000E-09,+0.0E+00,0
-34.000E-09,-233.165830374E-03,0
-31.000E-09,-233.165830374E-03,0
-28.000E-09,-233.165830374E-03,0
-25.000E-09,-233.165830374E-03,0
-22.000E-09,+0.0E+00,0
-19.000E-09,-145.728643984E-03,0
-16.000E-09,-233.165830374E-03,0
-13.000E-09,-233.165830374E-03,0
-10.000E-09,-233.165830374E-03,0
-7.000E-09,-233.165830374E-03,0
-4.000E-09,-145.728643984E-03,0
-1.000E-09,-233.165830374E-03,0
+2.000E-09,-233.165830374E-03,1
+5.000E-09,-233.165830374E-03,1
+8.000E-09,-233.165830374E-03,1
+11.000E-09,-233.165830374E-03,1
+14.000E-09,-87.437186390E-03,1
+17.000E-09,+0.0E+00,1
+20.000E-09,+0.0E+00,1
+23.000E-09,+0.0E+00,1
+26.000E-09,+0.0E+00,1
+29.000E-09,+0.0E+00,1
+32.000E-09,+0.0E+00,1
+35.000E-09,-145.728643984E-03,1
+38.000E-09,-233.165830374E-03,1
+41.000E-09,-233.165830374E-03,1
+44.000E-09,+0.0E+00,1
+47.000E-09,+0.0E+00,1
+50.000E-09,+0.0E+00,1
+53.000E-09,+0.0E+00,1
+56.000E-09,-233.165830374E-03,1
+59.000E-09,-233.165830374E-03,1
+62.000E-09,-233.165830374E-03,1
+65.000E-09,-233.165830374E-03,1
+68.000E-09,+0.0E+00,1
+71.000E-09,-145.728643984E-03,1
+74.000E-09,-233.165830374E-03,1
+77.000E-09,-233.165830374E-03,1
+80.000E-09,+0.0E+00,1
+83.000E-09,-233.165830374E-03,1
+86.000E-09,-233.165830374E-03,1
+89.000E-09,-87.437186390E-03,1
+92.000E-09,+0.0E+00,1
+95.000E-09,+0.0E+00,1
+98.000E-09,+0.0E+00,1
+101.000E-09,-87.437186390E-03,1
+104.000E-09,+0.0E+00,1
+107.000E-09,+0.0E+00,1
+110.000E-09,-233.165830374E-03,1
+113.000E-09,-233.165830374E-03,1
